id,name,description,startDate,endDate,location,capacity,type,status,timezone,isPublic,organizer
5b6a8b3e-5510-40cc-b961-aade214524f8,Main Event: Conference,This is the main conference event. The event will cover various topics related to technology and innovation.,2025-05-13,2025-05-17,Downtown Arena,500,Conference,active,America/Phoenix,true,TechOrg Inc.
evt_1,Event 1: Networking,This is a description for event 1. The event will cover various topics related to technology and innovation.,2025-06-28,2025-06-30,Business Park,143,Training,upcoming,Europe/London,true,Marketing Department
evt_2,Event 2: Networking,This is a description for event 2. The event will cover various topics related to technology and innovation.,2025-06-11,2025-06-14,University Hall,741,Hackathon,cancelled,Europe/London,true,Product Team
evt_3,Event 3: Training,This is a description for event 3. The event will cover various topics related to technology and innovation.,2025-06-13,2025-06-15,Convention Center,347,Networking,upcoming,America/New_York,true,Innovation Lab
evt_4,Event 4: Training,This is a description for event 4. The event will cover various topics related to technology and innovation.,2025-05-28,2025-05-29,Business Park,869,Training,upcoming,America/Los_Angeles,false,Dev Community
evt_5,Event 5: Hackathon,This is a description for event 5. The event will cover various topics related to technology and innovation.,2025-04-19,2025-04-21,Business Park,287,Hackathon,draft,America/Los_Angeles,false,Education Center
evt_6,Event 6: Training,This is a description for event 6. The event will cover various topics related to technology and innovation.,2025-05-20,2025-05-21,University Hall,859,Workshop,upcoming,Europe/London,false,Product Team
evt_7,Event 7: Hackathon,This is a description for event 7. The event will cover various topics related to technology and innovation.,2025-07-08,2025-07-09,Convention Center,772,Networking,upcoming,Europe/London,false,Education Center
evt_8,Event 8: Workshop,This is a description for event 8. The event will cover various topics related to technology and innovation.,2025-06-06,2025-06-11,Downtown Arena,341,Product Launch,draft,America/Chicago,true,TechOrg Inc.
evt_9,Event 9: Conference,This is a description for event 9. The event will cover various topics related to technology and innovation.,2025-05-30,2025-06-02,Convention Center,359,Workshop,upcoming,Asia/Tokyo,true,Innovation Lab
evt_10,Event 10: Hackathon,This is a description for event 10. The event will cover various topics related to technology and innovation.,2025-06-01,2025-06-06,Grand Hotel,138,Hackathon,upcoming,America/Chicago,false,Marketing Department
evt_11,Event 11: Hackathon,This is a description for event 11. The event will cover various topics related to technology and innovation.,2025-05-16,2025-05-19,Tech Campus,859,Conference,upcoming,Europe/London,true,Product Team
evt_12,Event 12: Workshop,This is a description for event 12. The event will cover various topics related to technology and innovation.,2025-05-27,2025-06-01,Tech Campus,348,Training,upcoming,America/Phoenix,true,Innovation Lab
evt_13,Event 13: Hackathon,This is a description for event 13. The event will cover various topics related to technology and innovation.,2025-05-30,2025-06-04,Convention Center,802,Workshop,upcoming,America/New_York,true,Marketing Department
evt_14,Event 14: Networking,This is a description for event 14. The event will cover various topics related to technology and innovation.,2025-04-30,2025-05-02,Convention Center,445,Seminar,completed,America/New_York,false,TechOrg Inc.
evt_15,Event 15: Seminar,This is a description for event 15. The event will cover various topics related to technology and innovation.,2025-07-11,2025-07-12,University Hall,158,Networking,upcoming,Europe/London,false,Marketing Department
evt_16,Event 16: Seminar,This is a description for event 16. The event will cover various topics related to technology and innovation.,2025-05-10,2025-05-14,Grand Hotel,397,Seminar,completed,America/New_York,true,TechOrg Inc.
evt_17,Event 17: Workshop,This is a description for event 17. The event will cover various topics related to technology and innovation.,2025-06-30,2025-07-03,Business Park,692,Hackathon,upcoming,America/Chicago,true,TechOrg Inc.
evt_18,Event 18: Product Launch,This is a description for event 18. The event will cover various topics related to technology and innovation.,2025-05-19,2025-05-22,Business Park,408,Hackathon,upcoming,Europe/London,true,TechOrg Inc.
evt_19,Event 19: Workshop,This is a description for event 19. The event will cover various topics related to technology and innovation.,2025-06-24,2025-06-28,University Hall,548,Training,upcoming,Europe/London,true,Education Center
evt_20,Event 20: Networking,This is a description for event 20. The event will cover various topics related to technology and innovation.,2025-04-30,2025-05-05,Downtown Arena,233,Hackathon,draft,America/Chicago,true,Education Center
evt_21,Event 21: Conference,This is a description for event 21. The event will cover various topics related to technology and innovation.,2025-04-17,2025-04-19,Tech Campus,956,Product Launch,completed,America/Chicago,true,Dev Community
evt_22,Event 22: Conference,This is a description for event 22. The event will cover various topics related to technology and innovation.,2025-05-30,2025-06-01,Convention Center,849,Workshop,upcoming,America/Chicago,false,Dev Community
evt_23,Event 23: Workshop,This is a description for event 23. The event will cover various topics related to technology and innovation.,2025-04-25,2025-04-28,Convention Center,719,Networking,completed,America/New_York,false,Dev Community
evt_24,Event 24: Hackathon,This is a description for event 24. The event will cover various topics related to technology and innovation.,2025-06-25,2025-06-27,University Hall,495,Workshop,upcoming,Asia/Tokyo,true,TechOrg Inc.
5b6a8b3e-5510-40cc-b961-aade214524f8,Main Event: Conference,This is the main conference event. The event will cover various topics related to technology and innovation.,2025-05-13,2025-05-17,Downtown Arena,550,Conference,active,America/Phoenix,true,TechOrg Inc.
evt_15,Event 15: Seminar,This is a description for event 15. The event will cover various topics related to technology and innovation.,2025-07-11,2025-07-12,University Hall,208,Networking,upcoming,Europe/London,false,Marketing Department
evt_5,Event 5: Hackathon,This is a description for event 5. The event will cover various topics related to technology and innovation.,2025-04-19,2025-04-21,Business Park,287,Hackathon,active,America/Los_Angeles,false,Education Center
evt_11,Event 11: Hackathon,This is a description for event 11. The event will cover various topics related to technology and innovation.,2025-05-16,2025-05-19,Tech Campus,909,Conference,upcoming,Europe/London,true,Product Team
evt_7,Event 7: Hackathon,This is a description for event 7. The event will cover various topics related to technology and innovation.,2025-07-08,2025-07-09,Convention Center,822,Networking,upcoming,Europe/London,false,Education Center
