id,name,description,startDate,endDate,location,capacity,type,status,timezone,isPublic,organizer
evt_1,Event 1: Training,This is a description for event 1. The event will cover various topics related to technology and innovation.,2025-07-10,2025-07-14,Business Park,363,Hackathon,completed,Asia/Tokyo,true,Dev Community
evt_2,Event 2: Hackathon,This is a description for event 2. The event will cover various topics related to technology and innovation.,2025-06-17,2025-06-22,Business Park,724,Training,upcoming,America/Chicago,true,Dev Community
evt_3,Event 3: Product Launch,This is a description for event 3. The event will cover various topics related to technology and innovation.,2025-05-24,2025-05-27,Tech Campus,769,Seminar,cancelled,Asia/Tokyo,true,Dev Community
evt_4,Event 4: Training,This is a description for event 4. The event will cover various topics related to technology and innovation.,2025-07-27,2025-07-28,Downtown Arena,900,Conference,draft,Asia/Tokyo,true,Marketing Department
evt_5,Event 5: Workshop,This is a description for event 5. The event will cover various topics related to technology and innovation.,2025-05-22,2025-05-24,Grand Hotel,785,Conference,draft,America/Los_Angeles,true,TechOrg Inc.
evt_6,Event 6: Networking,This is a description for event 6. The event will cover various topics related to technology and innovation.,2025-06-11,2025-06-13,Grand Hotel,226,Hackathon,completed,America/New_York,true,Marketing Department
evt_7,Event 7: Product Launch,This is a description for event 7. The event will cover various topics related to technology and innovation.,2025-06-11,2025-06-12,Grand Hotel,234,Seminar,completed,America/New_York,true,Dev Community
evt_8,Event 8: Conference,This is a description for event 8. The event will cover various topics related to technology and innovation.,2025-06-18,2025-06-19,Tech Campus,512,Workshop,upcoming,America/New_York,true,Dev Community
evt_9,Event 9: Training,This is a description for event 9. The event will cover various topics related to technology and innovation.,2025-08-03,2025-08-06,Tech Campus,804,Hackathon,active,Asia/Tokyo,true,Product Team
evt_10,Event 10: Conference,This is a description for event 10. The event will cover various topics related to technology and innovation.,2025-08-06,2025-08-11,Business Park,786,Seminar,draft,America/New_York,true,Global Partners
evt_4,Event 4: Training,This is a description for event 4. The event will cover various topics related to technology and innovation.,2025-07-27,2025-07-28,Downtown Arena,149,Conference,draft,Asia/Tokyo,true,Marketing Department
evt_9,Event 9: Training,This is a description for event 9. The event will cover various topics related to technology and innovation.,2025-08-03,2025-08-06,Tech Campus,804,Hackathon,active,Asia/Tokyo,false,Product Team
evt_7,Event 7: Product Launch,Updated description for Event 7: Product Launch with new information.,2025-06-11,2025-06-12,Grand Hotel,234,Seminar,completed,America/New_York,true,Dev Community
evt_10,Event 10: Conference,This is a description for event 10. The event will cover various topics related to technology and innovation.,2025-08-06,2025-08-11,Business Park,786,Seminar,upcoming,America/New_York,true,Global Partners
evt_1,Event 1: Training,This is a description for event 1. The event will cover various topics related to technology and innovation.,2025-07-10,2025-07-14,Business Park,360,Hackathon,completed,Asia/Tokyo,true,Dev Community
evt_8,Event 8: Conference,This is a description for event 8. The event will cover various topics related to technology and innovation.,2025-06-18,2025-06-19,Tech Campus,512,Workshop,upcoming,America/New_York,true,Dev Community
evt_2,Event 2: Hackathon,This is a description for event 2. The event will cover various topics related to technology and innovation.,2025-06-17,2025-06-22,Business Park,724,Training,upcoming,America/Chicago,true,Dev Community
