id,name,description,startDate,endDate,location,capacity,type,status,timezone,isPublic,organizer
evt_1,Event 1: Networking,"This is an in-depth description for event 1. The event will cover various topics related to technology, innovation, and industry trends. Attendees can expect interactive sessions, networking opportunities, and valuable insights from industry experts.",2025-05-22,2025-05-25,Grand Hotel,654,Networking,upcoming,America/Los_Angeles,false,Education Center
evt_2,Event 2: Seminar,"This is an in-depth description for event 2. The event will cover various topics related to technology, innovation, and industry trends. Attendees can expect interactive sessions, networking opportunities, and valuable insights from industry experts.",2025-04-24,2025-04-26,Tech Campus,943,Seminar,completed,America/Los_Angeles,true,Education Center
evt_3,Event 3: Conference,"This is an in-depth description for event 3. The event will cover various topics related to technology, innovation, and industry trends. Attendees can expect interactive sessions, networking opportunities, and valuable insights from industry experts.",2025-06-22,2025-06-25,University Hall,808,Seminar,upcoming,America/Los_Angeles,false,Innovation Lab
evt_4,Event 4: Workshop,"This is an in-depth description for event 4. The event will cover various topics related to technology, innovation, and industry trends. Attendees can expect interactive sessions, networking opportunities, and valuable insights from industry experts.",2025-07-08,2025-07-09,Tech Campus,225,Training,upcoming,America/Phoenix,false,Product Team
evt_5,Event 5: Networking,"This is an in-depth description for event 5. The event will cover various topics related to technology, innovation, and industry trends. Attendees can expect interactive sessions, networking opportunities, and valuable insights from industry experts.",2025-07-04,2025-07-05,University Hall,620,Seminar,upcoming,Europe/London,true,Product Team
evt_6,Event 6: Networking,"This is an in-depth description for event 6. The event will cover various topics related to technology, innovation, and industry trends. Attendees can expect interactive sessions, networking opportunities, and valuable insights from industry experts.",2025-06-11,2025-06-14,Downtown Arena,103,Hackathon,upcoming,America/Phoenix,true,Education Center
evt_7,Event 7: Networking,"This is an in-depth description for event 7. The event will cover various topics related to technology, innovation, and industry trends. Attendees can expect interactive sessions, networking opportunities, and valuable insights from industry experts.",2025-05-26,2025-05-30,Business Park,440,Workshop,upcoming,America/Los_Angeles,true,Marketing Department
evt_8,Event 8: Conference,"This is an in-depth description for event 8. The event will cover various topics related to technology, innovation, and industry trends. Attendees can expect interactive sessions, networking opportunities, and valuable insights from industry experts.",2025-05-23,2025-05-25,Tech Campus,684,Training,upcoming,America/Phoenix,true,Marketing Department
evt_9,Event 9: Networking,"This is an in-depth description for event 9. The event will cover various topics related to technology, innovation, and industry trends. Attendees can expect interactive sessions, networking opportunities, and valuable insights from industry experts.",2025-07-08,2025-07-12,Tech Campus,478,Networking,upcoming,America/New_York,true,Education Center
evt_10,Event 10: Product Launch,"This is an in-depth description for event 10. The event will cover various topics related to technology, innovation, and industry trends. Attendees can expect interactive sessions, networking opportunities, and valuable insights from industry experts.",2025-05-25,2025-05-28,University Hall,688,Conference,upcoming,Asia/Tokyo,false,TechOrg Inc.
evt_11,Event 11: Seminar,"This is an in-depth description for event 11. The event will cover various topics related to technology, innovation, and industry trends. Attendees can expect interactive sessions, networking opportunities, and valuable insights from industry experts.",2025-04-30,2025-05-02,University Hall,433,Conference,completed,Europe/London,true,Dev Community
evt_12,Event 12: Seminar,"This is an in-depth description for event 12. The event will cover various topics related to technology, innovation, and industry trends. Attendees can expect interactive sessions, networking opportunities, and valuable insights from industry experts.",2025-05-08,2025-05-09,Business Park,605,Seminar,completed,America/New_York,false,Dev Community
evt_13,Event 13: Seminar,"This is an in-depth description for event 13. The event will cover various topics related to technology, innovation, and industry trends. Attendees can expect interactive sessions, networking opportunities, and valuable insights from industry experts.",2025-06-22,2025-06-24,University Hall,693,Networking,upcoming,America/Phoenix,true,Innovation Lab
evt_14,Event 14: Networking,"This is an in-depth description for event 14. The event will cover various topics related to technology, innovation, and industry trends. Attendees can expect interactive sessions, networking opportunities, and valuable insights from industry experts.",2025-06-05,2025-06-09,University Hall,991,Training,upcoming,Europe/London,true,Innovation Lab
evt_15,Event 15: Training,"This is an in-depth description for event 15. The event will cover various topics related to technology, innovation, and industry trends. Attendees can expect interactive sessions, networking opportunities, and valuable insights from industry experts.",2025-06-07,2025-06-09,Business Park,814,Workshop,upcoming,America/Los_Angeles,true,TechOrg Inc.
evt_16,Event 16: Networking,"This is an in-depth description for event 16. The event will cover various topics related to technology, innovation, and industry trends. Attendees can expect interactive sessions, networking opportunities, and valuable insights from industry experts.",2025-05-04,2025-05-05,Grand Hotel,354,Networking,completed,Europe/London,true,Dev Community
evt_17,Event 17: Training,"This is an in-depth description for event 17. The event will cover various topics related to technology, innovation, and industry trends. Attendees can expect interactive sessions, networking opportunities, and valuable insights from industry experts.",2025-05-19,2025-05-21,Downtown Arena,721,Seminar,upcoming,America/New_York,true,Product Team
